"","date","outdoor_dates","date_ideas","match","romance","intimacy","video_dating","relationships","hookups","kissing","hugging","sex","date_from_home","hinge","bumble","dating_apps","love","online_dating"
"232",2021-10-31,43,81,49,53,86,53,82,63,12,21,76,3,82,27,76,72,53
"233",2021-11-07,43,84,49,43,93,40,81,63,13,20,76,4,85,30,74,80,55
"234",2021-11-14,46,73,48,42,87,59,82,67,12,21,75,4,89,28,71,75,50
"235",2021-11-21,22,60,61,46,73,30,65,62,13,21,77,3,81,28,71,74,51
"236",2021-11-28,45,68,50,44,91,52,78,64,12,19,75,4,84,28,67,70,47
"237",2021-12-05,42,73,47,44,87,33,80,60,13,21,82,5,85,27,72,70,44
"238",2021-12-12,30,71,44,44,89,43,73,63,13,21,81,7,81,27,67,69,45
"239",2021-12-19,23,56,39,45,73,54,58,69,14,22,79,6,82,26,71,73,45
"240",2021-12-26,48,60,40,51,70,49,58,66,14,23,78,5,84,28,83,75,48
"241",2022-01-02,17,77,44,52,81,34,66,66,13,22,75,4,87,28,78,72,50
"242",2022-01-09,30,86,46,46,84,51,73,70,14,22,79,3,90,27,73,74,52
"243",2022-01-16,25,89,46,53,85,49,74,56,14,29,75,2,92,29,72,73,48
"244",2022-01-23,26,87,50,50,87,56,80,68,14,22,76,4,95,32,76,75,52
"245",2022-01-30,18,83,48,51,92,53,80,68,14,22,78,4,94,28,78,76,49
"246",2022-02-06,27,99,47,47,82,46,80,69,13,22,83,4,90,28,79,80,50
"247",2022-02-13,40,86,49,51,91,74,79,66,13,22,75,4,89,26,73,90,49
"248",2022-02-20,43,70,46,48,84,53,78,71,13,23,75,4,87,29,72,81,51
"249",2022-02-27,30,63,45,43,83,50,76,61,12,22,73,3,85,26,69,76,44
"250",2022-03-06,39,68,47,48,80,34,76,69,12,20,72,4,97,29,71,79,46
"251",2022-03-13,43,63,56,44,82,37,69,61,12,23,73,3,88,28,68,71,49
"252",2022-03-20,30,71,71,43,80,49,75,73,13,20,75,3,92,30,74,70,45
"253",2022-03-27,54,67,62,44,87,51,85,73,13,23,70,3,92,29,67,67,52
"254",2022-04-03,43,70,52,46,79,57,80,78,12,21,70,4,90,28,74,69,50
"255",2022-04-10,38,68,48,47,86,41,75,67,13,23,74,3,85,31,71,68,50
"256",2022-04-17,59,67,49,44,89,65,79,69,13,21,73,3,88,33,74,71,54
"257",2022-04-24,46,66,47,42,75,50,81,76,12,20,70,3,86,32,74,68,46
"258",2022-05-01,33,59,46,44,83,57,83,68,12,20,74,2,87,32,69,72,46
"259",2022-05-08,51,55,45,61,78,55,76,65,12,20,71,3,86,35,72,71,50
"260",2022-05-15,57,59,44,51,79,64,76,71,13,22,70,2,84,34,71,69,49
